timestep,uplink_bandwidth,downlink_bandwidth,network_delay_ms,packet_loss_rate,channel_utilization,load_factor,snr_db,is_outage,is_congestion,is_jitter_storm
76,184.904,304.367,29.45,0.08412,0.5108,1.4243,20.65,0,0,0
77,181.893,299.094,25.056,0.00109,0.6405,1.4304,21.9,0,0,0
78,174.448,239.606,36.677,0.08907,0.5806,1.4163,20.15,0,0,0
79,202.312,402.332,23.332,0.02549,0.5582,1.4119,21.87,0,0,0
80,208.965,378.567,27.586,0.00197,0.5021,1.4072,22.84,0,0,0
81,231.924,411.113,23.806,0.01829,0.4793,1.4022,23.91,0,0,0
82,238.237,358.858,10.897,0.00077,0.4947,1.397,25.04,0,0,0
83,220.657,392.598,32.424,0.06901,0.519,1.3916,25.97,0,0,0
84,270.891,468.253,19.189,0.00979,0.4048,1.3859,26.48,0,0,0
85,166.112,264.451,85.154,0.11249,0.6641,1.4374,19.8,0,1,0
86,114.065,160.946,79.896,0.19277,0.575,1.4538,18.53,0,1,0
87,100.526,145.68,92.996,0.16908,0.7104,1.4224,15.58,0,1,0
88,54.232,66.721,124.269,0.29314,0.6614,1.4682,10.53,0,1,0
89,68.687,101.106,73.294,0.05846,0.6301,1.4863,9.72,0,1,0
90,52.068,83.327,98.159,0.0954,0.722,1.6342,6.86,0,1,0
91,38.83,53.581,90.509,0.19051,0.5835,1.5369,5.83,0,1,0
92,24.607,60.454,100.995,0.11993,0.6288,1.5469,2.37,0,1,0
93,5.72,6.825,117.631,0.10188,0.6836,1.5191,-0.14,0,1,0
94,27.873,40.21,244.412,0.26956,0.6267,1.5787,-3.82,0,1,1
95,42.441,47.519,111.37,0.13427,0.6549,1.493,-4.6,0,1,0
96,23.12,42.123,85.955,0.1145,0.6431,1.5247,-5.64,0,1,0
97,36.346,53.333,96.753,0.10316,0.6351,1.5137,-8.51,0,1,0
98,22.916,36.486,114.268,0.17615,0.6856,1.4725,-10.0,0,1,0
99,34.784,52.698,108.984,0.06358,0.6152,1.4911,-10.0,0,1,0
100,5.337,13.209,123.538,0.23023,0.6268,1.477,-9.7,0,1,0
101,30.435,41.52,93.463,0.13407,0.6488,1.4853,-10.0,0,1,0
102,36.416,56.168,100.065,0.16411,0.5391,1.4734,-10.0,0,1,0
103,12.958,41.204,107.545,0.28161,0.6907,1.4388,-10.0,0,1,0
104,23.438,31.49,79.946,0.13277,0.5344,1.3741,-10.0,0,1,0
105,21.764,33.319,80.934,0.1261,0.5637,1.4168,-9.59,0,1,0
106,41.979,79.71,127.786,0.11538,0.6079,1.4193,-8.99,0,1,1
107,36.728,32.719,75.528,0.09416,0.6394,1.4492,-10.0,0,1,0
108,30.746,47.965,105.82,0.15676,0.5469,1.4015,-10.0,0,1,0
109,26.59,47.534,214.826,0.24198,0.5733,1.3986,-10.0,0,1,1
110,31.866,59.414,95.532,0.14384,0.5182,1.3507,-9.64,0,1,0
111,20.491,28.316,67.067,0.09558,0.5512,1.3601,-10.0,0,1,0
112,36.235,31.82,86.948,0.23356,0.5026,1.3844,-8.42,0,1,0
113,45.185,57.014,54.216,0.08355,0.4113,1.3287,-8.82,0,1,0
114,26.277,43.388,88.83,0.07221,0.6309,1.3628,-9.01,0,1,0
115,18.386,30.629,88.035,0.16444,0.5619,1.3519,-10.0,0,1,0
116,16.172,37.712,63.178,0.1182,0.3974,1.2984,-10.0,0,1,0
117,46.522,58.828,223.757,0.09346,0.4007,1.2274,-10.0,0,1,1
118,44.705,114.037,85.434,0.15015,0.393,1.2638,-9.74,0,1,0
119,40.422,79.489,108.695,0.16623,0.5466,1.3001,-10.0,0,1,0
120,18.472,16.794,96.643,0.18198,0.3221,1.2639,-10.0,0,1,0
121,27.669,44.568,253.961,0.20193,0.4986,1.2652,-10.0,0,1,1
122,26.842,29.604,81.667,0.13038,0.4021,1.2514,-10.0,0,1,0
123,22.571,49.037,89.186,0.21744,0.3364,1.2526,-9.37,0,1,0
124,20.238,21.189,81.456,0.1146,0.4042,1.2038,-9.87,0,1,0
125,35.651,52.149,112.081,0.15784,0.4896,1.235,-10.0,0,1,0
126,11.168,17.997,70.028,0.11428,0.368,1.1662,-10.0,0,1,0
127,16.232,21.007,84.715,0.08298,0.3845,1.1774,-10.0,0,1,0
128,28.825,37.946,99.009,0.0733,0.322,1.1686,-10.0,0,1,0
129,21.81,39.171,86.596,0.19087,0.4218,1.1098,-10.0,0,1,0
130,14.408,16.807,100.092,0.26384,0.3383,1.1411,-10.0,0,1,0
131,30.831,46.218,92.734,0.14113,0.4047,1.1324,-10.0,0,1,0
132,13.499,28.856,300.462,0.33314,0.3744,1.1112,-10.0,0,1,1
133,23.981,32.644,82.849,0.07443,0.349,1.1026,-10.0,0,1,0
134,33.436,61.325,79.571,0.10001,0.3765,1.1316,-10.0,0,1,0
135,24.337,26.371,76.814,0.18129,0.3382,1.0206,-9.53,0,1,0
136,38.027,60.342,20.105,0.05544,0.1361,0.9522,-7.99,0,0,0
137,39.799,80.676,14.132,0.00263,0.0694,0.9388,-6.12,0,0,0
138,42.108,78.204,17.349,0.02475,0.118,0.8881,-2.23,0,0,0
139,38.613,62.931,28.168,0.07454,0.1279,0.9174,-0.68,0,0,0
140,36.334,75.885,21.042,0.00293,0.1854,0.9418,2.04,0,0,0
141,66.755,122.466,23.729,0.07017,0.1725,0.8889,4.66,0,0,0
142,85.71,117.316,3.883,0.00941,0.0952,0.8985,5.77,0,0,0
143,88.527,111.377,2.644,0.00287,0.05,0.8758,6.64,0,0,0
144,80.512,146.124,19.892,0.03434,0.2113,0.8807,7.6,0,0,0
145,146.303,281.748,4.934,0.0205,0.05,0.8157,10.07,0,0,0
146,149.326,221.052,11.691,0.00321,0.1056,0.8584,12.07,0,0,0
147,170.733,283.284,11.408,0.0097,0.0677,0.8062,13.13,0,0,0
148,179.375,282.345,14.596,0.0042,0.05,0.7816,14.04,0,0,0
149,197.92,348.032,14.908,0.00575,0.0909,0.8172,16.24,0,0,0
150,242.271,404.659,16.838,0.01238,0.1144,0.798,18.42,0,0,0
151,239.802,305.753,20.915,0.00607,0.1325,0.7264,19.51,0,0,0
152,220.156,260.469,16.272,0.07562,0.1947,0.7175,20.08,0,0,0
153,223.321,298.328,16.253,0.00453,0.148,0.7088,19.26,0,0,0
154,229.712,336.242,20.91,0.08233,0.05,0.7003,18.84,0,0,0
155,221.615,320.152,10.175,0.04337,0.1083,0.692,19.32,0,0,0
156,184.007,240.993,24.639,0.13685,0.1385,0.6838,17.67,0,0,0
157,231.621,314.575,6.324,0.00919,0.05,0.6759,17.73,0,0,0
158,222.537,410.714,22.343,0.15034,0.05,0.6681,18.35,0,0,0
159,240.238,438.799,20.348,0.00468,0.1441,0.6606,19.49,0,0,0
160,197.935,247.331,26.137,0.14205,0.1635,0.6533,18.35,0,0,0
161,251.502,446.536,13.201,0.02168,0.1326,0.6462,20.57,0,0,0
162,315.008,582.543,14.987,0.00289,0.05,0.6393,22.77,0,0,0
163,303.344,449.797,10.057,0.02852,0.073,0.6326,23.55,0,0,0
164,285.865,426.341,7.961,0.02851,0.05,0.6262,22.1,0,0,0
165,243.512,447.934,26.475,0.04854,0.266,0.6201,21.8,0,0,0
166,279.232,435.792,21.233,0.03695,0.1505,0.6141,22.42,0,0,0
167,268.116,463.559,12.435,0.02424,0.0994,0.6084,20.75,0,0,0
168,284.54,469.012,8.248,0.05619,0.0872,0.603,22.19,0,0,0
169,254.286,473.473,12.528,0.01733,0.1755,0.5978,22.11,0,0,0
170,263.603,338.335,11.868,0.04841,0.1444,0.5928,21.42,0,0,0
171,229.643,312.967,22.712,0.06873,0.2154,0.5881,21.81,0,0,0
172,291.321,508.527,12.793,0.00674,0.1067,0.5837,22.27,0,0,0
173,228.488,413.655,21.953,0.09864,0.1764,0.5796,21.47,0,0,0
174,232.65,319.684,10.693,0.05371,0.0819,0.5757,20.01,0,0,0
175,267.617,426.487,6.51,0.00162,0.1607,0.572,22.14,0,0,0
176,210.245,386.513,38.482,0.2392,0.226,0.5687,23.01,0,0,0
177,271.057,347.011,19.654,0.04009,0.1773,0.5656,23.45,0,0,0
178,282.832,500.829,8.045,0.02054,0.1779,0.5628,22.71,0,0,0
179,256.955,318.277,11.878,0.00147,0.154,0.5602,21.8,0,0,0
180,264.259,329.578,16.859,0.01363,0.0849,0.7055,22.73,0,0,0
181,247.175,391.724,21.361,0.01466,0.2559,0.656,20.57,0,0,0
182,226.923,412.455,16.642,0.04035,0.2251,0.6468,20.51,0,0,0
183,254.737,429.853,10.98,0.00538,0.2091,0.6354,21.26,0,0,0
184,208.689,326.717,47.527,0.14925,0.2817,0.6967,21.72,0,0,0
185,279.386,442.406,18.11,0.00187,0.2171,0.6134,21.84,0,0,0
186,258.22,446.207,19.095,0.03623,0.1967,0.6253,24.02,0,0,0
187,214.178,309.36,32.25,0.05548,0.2762,0.6625,20.55,0,0,0
188,241.482,406.675,26.146,0.03191,0.2624,0.6375,21.97,0,0,0
189,201.573,356.889,21.551,0.00851,0.272,0.6703,18.51,0,0,0
190,203.259,290.82,29.419,0.00646,0.4001,0.6784,18.51,0,0,0
191,196.325,300.856,26.191,0.02082,0.2737,0.6392,18.34,0,0,0
192,180.31,265.972,38.584,0.08375,0.4076,0.7154,18.0,0,0,0
193,218.362,420.406,28.292,0.04597,0.3284,0.6718,19.75,0,0,0
194,175.398,284.303,46.038,0.14626,0.3214,0.646,18.4,0,0,0
195,210.057,281.837,33.472,0.03146,0.3046,0.723,18.03,0,0,0
196,224.771,434.33,22.666,0.01403,0.3919,0.6027,21.62,0,0,0
197,211.655,301.997,35.134,0.05974,0.3657,0.7028,21.91,0,0,0
198,227.837,340.886,31.068,0.00551,0.3933,0.6831,19.73,0,0,0
199,189.407,255.705,54.87,0.10008,0.5335,0.7137,20.8,0,0,0
200,0.67,0.217,346.886,0.97521,0.365,0.6495,-5.17,1,0,0
201,1.617,1.087,347.872,0.91276,0.423,0.6707,3.32,1,0,0
202,1.037,0.577,390.48,0.97145,0.4023,0.6421,1.76,1,0,0
203,1.889,1.343,337.441,0.78236,0.3724,0.7412,2.22,1,0,0
204,1.494,0.905,269.733,0.78324,0.4644,0.6631,4.85,1,0,0
205,1.914,1.096,444.042,0.9644,0.4622,0.7003,2.19,1,0,0
206,0.85,1.46,493.662,0.82693,0.4739,0.5978,-3.43,1,0,0
207,0.662,1.288,302.425,0.9042,0.3021,0.603,-3.5,1,0,0
208,0.378,0.137,310.561,0.74382,0.4825,0.6084,4.72,1,0,0
209,0.113,0.163,497.71,0.97047,0.5081,0.6141,-2.44,1,0,0
210,1.3,1.612,339.868,0.96563,0.3657,0.6201,-2.02,1,0,0
211,1.399,1.296,357.77,0.62836,0.4806,0.6262,2.11,1,0,0
212,0.168,0.582,266.04,0.7174,0.4832,0.6326,-1.93,1,0,0
213,1.352,0.332,492.516,0.6846,0.4817,0.6393,-3.27,1,0,0
214,1.299,1.656,358.246,0.93495,0.4843,0.6462,-0.83,1,0,0
215,1.578,0.145,489.133,0.8774,0.4194,0.6533,0.13,1,0,0
216,31.771,42.801,11.25,0.00056,0.5001,0.6606,2.91,0,0,0
217,49.583,59.787,35.015,0.05582,0.5157,0.6681,4.54,0,0,0
218,54.365,87.049,33.87,0.01434,0.5609,0.6759,5.66,0,0,0
219,49.496,83.224,31.465,0.0388,0.5785,0.6838,7.43,0,0,0
220,45.36,86.198,25.104,0.01733,0.5571,0.692,6.33,0,0,0
221,70.604,142.219,13.555,0.02769,0.4866,0.7003,7.1,0,0,0
222,50.769,69.853,31.998,0.13294,0.4621,0.7088,7.04,0,0,0
223,71.675,166.275,40.036,0.05881,0.6602,0.7175,9.44,0,0,0
224,83.05,134.02,38.572,0.07562,0.5772,0.7264,10.97,0,0,0
225,101.217,152.156,35.514,0.07127,0.5187,0.7355,12.01,0,0,0
226,120.067,195.261,28.939,0.00972,0.5785,0.7447,13.07,0,0,0
227,138.193,180.571,30.544,0.05504,0.4973,0.7541,15.05,0,0,0
228,163.563,281.965,24.592,0.00144,0.6519,0.7637,18.45,0,0,0
229,187.511,357.952,36.069,0.03929,0.456,0.7734,18.83,0,0,0
230,192.348,360.891,19.314,0.00153,0.5723,0.7832,21.01,0,0,0
231,184.101,253.247,35.955,0.05905,0.4794,0.7932,20.08,0,0,0
232,199.469,275.178,23.48,4e-05,0.5346,0.8033,20.1,0,0,0
233,196.667,256.372,31.668,0.00396,0.5473,0.8135,20.42,0,0,0
234,147.655,248.129,41.193,0.0887,0.6791,0.8239,20.24,0,0,0
235,181.39,266.159,32.965,0.02602,0.6238,0.8343,20.7,0,0,0
236,170.435,312.867,29.032,0.00429,0.5889,0.8449,20.78,0,0,0
237,182.581,316.2,27.833,0.00868,0.5525,0.8556,19.44,0,0,0
238,205.383,344.513,22.868,0.00609,0.5582,0.8663,21.53,0,0,0
239,197.734,260.196,17.688,0.00318,0.5121,0.8772,21.31,0,0,0
240,184.226,292.42,26.432,0.02454,0.6834,0.8881,23.35,0,0,0
241,196.134,289.073,31.882,0.01247,0.5802,0.8991,21.64,0,0,0
242,175.198,320.8,33.889,0.04905,0.5399,0.9101,19.8,0,0,0
243,147.207,247.338,34.978,0.07153,0.5875,0.9212,19.02,0,0,0
244,148.103,187.48,31.1,0.02374,0.7274,0.9324,18.95,0,0,0
245,157.412,205.994,26.369,0.00141,0.6722,0.9436,20.53,0,0,0
246,146.354,243.714,40.9,0.18361,0.6258,0.9548,21.86,0,0,0
247,195.3,296.988,30.115,0.00186,0.6065,0.9661,21.59,0,0,0
248,169.236,232.993,42.385,0.17067,0.5923,0.9774,22.76,0,0,0
249,189.824,328.69,39.206,0.04605,0.5764,0.9887,22.61,0,0,0
250,29.625,55.154,136.357,0.1488,0.99,1.1725,15.79,0,1,0
251,16.258,7.142,171.088,0.21279,0.99,1.2063,9.15,0,1,0
252,0.1,0.1,220.987,0.18057,0.99,1.2426,5.86,0,1,1
253,0.1,0.1,149.674,0.172,0.99,1.2189,2.32,0,1,0
254,0.1,0.1,151.838,0.23008,0.99,1.2452,-4.67,0,1,0
255,0.1,0.1,147.24,0.18186,0.99,1.2539,-6.35,0,1,0
256,0.1,0.1,134.69,0.21107,0.99,1.3201,-10.0,0,1,0
257,0.1,0.1,135.971,0.22662,0.99,1.2613,-10.0,0,1,0
258,0.1,0.1,177.803,0.28324,0.99,1.3624,-10.0,0,1,0
259,0.1,0.1,131.793,0.16268,0.99,1.2809,-10.0,0,1,0
260,0.1,0.1,171.624,0.17525,0.99,1.3644,-10.0,0,1,0
261,0.1,0.1,229.542,0.25654,0.99,1.3603,-10.0,0,1,1
262,0.1,0.1,191.195,0.2424,0.99,1.3337,-10.0,0,1,1
263,0.1,0.1,148.141,0.17071,0.99,1.3444,-10.0,0,1,0
264,0.1,0.1,222.161,0.13733,0.99,1.4101,-10.0,0,1,1
265,0.1,0.1,166.137,0.22649,0.99,1.3957,-10.0,0,1,1
266,0.1,0.1,140.967,0.17473,0.99,1.3611,-10.0,0,1,0
267,0.1,0.1,169.587,0.29935,0.99,1.379,-10.0,0,1,0
268,16.489,19.105,84.684,0.03117,0.8533,1.4192,-9.17,0,0,0
269,0.1,0.1,177.234,0.26562,0.99,1.4168,-10.0,0,1,0
270,0.1,0.1,165.907,0.14335,0.99,1.4218,-10.0,0,1,0
271,0.1,0.1,167.238,0.20644,0.99,1.4391,-10.0,0,1,0
272,0.1,0.1,184.473,0.29945,0.99,1.4688,-10.0,0,1,1
273,0.1,0.1,155.753,0.14533,0.99,1.5059,-10.0,0,1,0
274,0.1,0.1,148.889,0.09492,0.99,1.4578,-10.0,0,1,0
275,0.1,0.1,150.241,0.19259,0.99,1.4395,-10.0,0,1,0
276,0.934,0.1,135.657,0.10803,0.99,1.4611,-10.0,0,1,0
277,0.1,0.1,163.792,0.19182,0.99,1.46,-10.0,0,1,0
278,0.1,0.1,143.459,0.1079,0.99,1.5237,-10.0,0,1,0
279,0.1,0.1,188.763,0.34465,0.99,1.5222,-10.0,0,1,0
280,0.1,0.1,175.404,0.19697,0.99,1.5055,-10.0,0,1,0
281,0.1,0.1,184.255,0.33167,0.99,1.5212,-10.0,0,1,0
282,0.1,0.1,160.654,0.16236,0.99,1.5716,-10.0,0,1,0
283,0.1,0.1,121.043,0.09671,0.99,1.6069,-10.0,0,1,0
284,0.1,0.1,145.828,0.1367,0.99,1.5569,-10.0,0,1,0
285,0.1,0.1,153.831,0.15709,0.99,1.6392,-10.0,0,1,0
286,0.1,0.1,143.096,0.18081,0.99,1.6163,-10.0,0,1,0
287,0.1,0.1,165.229,0.14745,0.99,1.7407,-10.0,0,1,0
288,0.1,0.1,167.858,0.23146,0.99,1.6424,-10.0,0,1,0
289,0.1,0.1,159.636,0.12517,0.99,1.6913,-10.0,0,1,0
290,0.1,0.1,158.71,0.16778,0.99,1.7774,-10.0,0,1,0
291,0.1,0.1,181.224,0.19024,0.99,1.6909,-10.0,0,1,1
292,0.1,0.1,204.513,0.26307,0.99,1.7016,-10.0,0,1,1
293,0.1,0.1,285.474,0.32159,0.99,1.7345,-10.0,0,1,1
294,0.1,0.1,174.291,0.16172,0.99,1.7672,-10.0,0,1,0
295,0.1,0.1,174.095,0.17242,0.99,1.7572,-10.0,0,1,0
296,20.976,30.038,76.815,0.12321,0.4874,1.5019,-8.96,0,1,0
297,21.265,29.001,90.691,0.14945,0.5783,1.5238,-9.82,0,1,0
298,20.13,21.942,90.421,0.12933,0.5864,1.4529,-10.0,0,1,0
299,38.406,71.81,79.272,0.1235,0.4622,1.5318,-10.0,0,1,0
300,23.599,32.928,72.365,0.11764,0.522,1.468,-10.0,0,1,0
301,18.407,32.804,71.645,0.16328,0.4192,1.5063,-8.82,0,1,0
302,21.962,31.531,96.824,0.07883,0.5727,1.5319,-9.17,0,1,0
303,29.104,54.978,67.127,0.13478,0.543,1.4597,-8.68,0,1,0
304,44.52,65.049,77.027,0.11109,0.5366,1.5098,-10.0,0,1,0
305,15.875,32.131,104.551,0.14719,0.59,1.547,-10.0,0,1,0
306,20.642,45.732,85.577,0.21881,0.5021,1.4715,-10.0,0,1,1
307,32.072,47.235,93.863,0.10287,0.4417,1.5257,-6.05,0,1,0
308,31.04,64.231,55.801,0.18101,0.4937,1.4771,-4.54,0,1,0
309,22.724,44.815,97.262,0.1107,0.4313,1.5008,-5.37,0,1,0
310,25.187,42.597,64.508,0.13428,0.4014,1.4966,-7.57,0,1,0
311,42.587,58.87,58.706,0.07402,0.4647,1.5347,-9.89,0,1,0
312,33.238,43.561,135.978,0.15336,0.4004,1.5425,-10.0,0,1,1
313,9.411,3.818,168.638,0.20473,0.4404,1.5025,-9.77,0,1,1
314,32.334,30.692,75.931,0.16146,0.4831,1.5247,-10.0,0,1,0
315,29.428,53.129,100.932,0.26857,0.3694,1.5091,-10.0,0,1,0
316,30.716,45.651,90.319,0.2264,0.3959,1.5308,-9.92,0,1,0
317,40.288,59.885,66.067,0.09135,0.4956,1.4671,-10.0,0,1,0
318,19.815,40.794,78.478,0.10961,0.3366,1.4907,-9.69,0,1,0
319,35.186,53.357,78.263,0.14955,0.421,1.519,-10.0,0,1,0
320,42.45,68.052,95.952,0.0902,0.4261,1.472,-10.0,0,1,0
321,19.856,26.296,78.78,0.10829,0.3794,1.4598,-7.29,0,1,0
322,4.419,0.1,98.835,0.26197,0.4186,1.4922,-10.0,0,1,0
323,27.037,46.617,71.079,0.18726,0.493,1.4794,-10.0,0,1,0
324,32.665,50.003,80.451,0.16712,0.4293,1.4938,-10.0,0,1,0
325,19.882,32.475,65.025,0.13859,0.4465,1.4755,-9.63,0,1,0
326,25.995,39.119,73.837,0.09673,0.3631,1.4568,-9.84,0,1,0
327,20.693,18.984,110.434,0.22722,0.4698,1.4954,-10.0,0,1,0
328,32.609,55.925,68.104,0.12072,0.3327,1.5013,-10.0,0,1,0
329,47.359,90.83,73.96,0.22931,0.3212,1.4869,-10.0,0,1,0
330,12.563,34.385,95.206,0.11437,0.4996,1.4622,-10.0,0,1,0
331,36.377,38.359,87.976,0.08257,0.369,1.4347,-10.0,0,1,0
332,50.024,74.456,76.39,0.13846,0.2166,1.462,-10.0,0,1,0
333,30.052,54.0,114.432,0.22242,0.2425,1.4766,-10.0,0,1,1
334,18.608,25.484,93.833,0.13149,0.3489,1.4309,-10.0,0,1,0
335,25.488,40.571,93.672,0.1804,0.3301,1.4299,-10.0,0,1,0
336,44.552,72.782,67.917,0.12686,0.2854,1.4038,-10.0,0,1,0
337,43.352,64.316,81.802,0.12744,0.2418,1.4124,-9.43,0,1,0
338,19.047,35.07,69.188,0.06785,0.2408,1.4232,-10.0,0,1,0
339,34.212,62.55,62.021,0.17849,0.1821,1.4038,-10.0,0,1,0
340,36.567,45.479,100.99,0.25372,0.1539,1.4117,-10.0,0,1,0
341,56.041,69.487,13.047,5e-05,0.1306,1.3394,-8.38,0,0,0
342,29.582,56.823,11.639,0.05447,0.1347,1.3319,-7.85,0,0,0
343,31.975,52.361,16.793,0.00627,0.1052,1.3241,-4.82,0,0,0
344,33.657,51.497,18.77,0.0249,0.062,1.3162,0.4,0,0,0
345,42.167,62.041,26.464,0.0615,0.1553,1.308,2.55,0,0,0
346,46.252,93.126,14.629,0.06862,0.099,1.2997,5.13,0,0,0
347,88.074,133.716,11.15,0.00372,0.05,1.2912,7.34,0,0,0
348,94.597,141.624,16.857,0.00965,0.081,1.2825,8.36,0,0,0
349,96.359,188.274,2.761,0.03683,0.05,1.2736,8.17,0,0,0
350,67.885,116.987,16.004,0.01036,0.0509,1.2645,5.8,0,0,0
351,64.349,94.135,23.659,0.06491,0.1687,1.2553,6.14,0,0,0
352,108.304,158.873,30.405,0.15806,0.1323,1.2459,9.21,0,0,0
353,122.364,200.527,3.45,0.01431,0.0976,1.2363,9.1,0,0,0
354,146.807,274.542,4.876,0.01911,0.05,1.2266,11.41,0,0,0
